date,hospitalized,require_ventilator_or_in_icu,source
2020-04-28,5514.0,,https://www.mhlw.go.jp/content/10900000/000633758.pdf
2020-05-07,4436.0,341.0,https://www.mhlw.go.jp/content/10900000/000633755.pdf
2020-05-13,3423.0,251.0,https://www.mhlw.go.jp/content/10900000/000631948.pdf
2020-05-21,2058.0,184.0,https://www.mhlw.go.jp/content/10900000/000633020.pdf
2020-05-27,1369.0,143.0,https://www.mhlw.go.jp/content/10900000/000635319.pdf
2020-06-03,1015.0,101.0,https://www.mhlw.go.jp/content/10900000/000637508.pdf
2020-06-10,781.0,88.0,https://www.mhlw.go.jp/content/10900000/000639642.pdf
2020-06-17,587.0,70.0,https://www.mhlw.go.jp/content/10900000/000641924.pdf
2020-06-24,559.0,58.0,https://www.mhlw.go.jp/content/10900000/000644284.pdf
2020-07-01,696.0,40.0,https://www.mhlw.go.jp/content/10900000/000646554.pdf
2020-07-08,1039.0,36.0,https://www.mhlw.go.jp/content/10900000/000650177.pdf
2020-07-15,1717.0,41.0,https://www.mhlw.go.jp/content/10900000/000650176.pdf
2020-07-22,2744.0,54.0,https://www.mhlw.go.jp/content/10900000/000652009.pdf
2020-07-29,4034.0,92.0,https://www.mhlw.go.jp/content/10900000/000655343.pdf
2020-08-05,5116.0,117.0,https://www.mhlw.go.jp/content/10900000/000657845.pdf
2020-08-12,6009.0,192.0,https://www.mhlw.go.jp/content/10900000/000659470.pdf
2020-08-19,5973.0,277.0,https://www.mhlw.go.jp/content/10900000/000661845.pdf
2020-08-26,5576.0,333.0,https://www.mhlw.go.jp/content/10900000/000664827.pdf
2020-09-02,4994.0,324.0,https://www.mhlw.go.jp/content/10900000/000694899.pdf
2020-09-09,4174.0,315.0,https://www.mhlw.go.jp/content/10900000/000694897.pdf
2020-09-16,3754.0,316.0,https://www.mhlw.go.jp/content/10900000/000694896.pdf
2020-09-23,3601.0,310.0,https://www.mhlw.go.jp/content/10900000/000694895.pdf
2020-09-30,3249.0,292.0,https://www.mhlw.go.jp/content/10900000/000694894.pdf
2020-10-07,2963.0,296.0,https://www.mhlw.go.jp/content/10900000/000694893.pdf
2020-10-14,3040.0,317.0,https://www.mhlw.go.jp/content/10900000/000694892.pdf
2020-10-21,2966.0,279.0,https://www.mhlw.go.jp/content/10900000/000694891.pdf
2020-10-28,3108.0,290.0,https://www.mhlw.go.jp/content/10900000/000694889.pdf
2020-11-04,3495.0,319.0,https://www.mhlw.go.jp/content/10900000/000694888.pdf
2020-11-11,4484.0,388.0,https://www.mhlw.go.jp/content/10900000/000694900.pdf
2020-11-18,5951.0,483.0,https://www.mhlw.go.jp/content/10900000/000697184.pdf
2020-11-25,7826.0,682.0,https://www.mhlw.go.jp/content/10900000/000699463.pdf
2020-12-02,8488.0,785.0,https://www.mhlw.go.jp/content/10900000/000703096.pdf
2020-12-09,9222.0,842.0,https://www.mhlw.go.jp/content/10900000/000705462.pdf
2020-12-16,10047.0,950.0,https://www.mhlw.go.jp/content/10900000/000707318.pdf
2020-12-23,10470.0,1017.0,https://www.mhlw.go.jp/content/10900000/000717219.xlsx
2020-12-30,11585.0,1106.0,https://www.mhlw.go.jp/content/10900000/000717220.xlsx
2021-01-06,13093.0,1224.0,https://www.mhlw.go.jp/content/10900000/000721071.xlsx
2021-01-13,14825.0,1424.0,https://www.mhlw.go.jp/content/10900000/000721104.xlsx
2021-01-20,14724.0,1505.0,https://www.mhlw.go.jp/content/10900000/000731213.xlsx
2021-01-27,14417.0,1569.0,https://www.mhlw.go.jp/content/10900000/000731216.xlsx
2021-02-03,13489.0,1439.0,https://www.mhlw.go.jp/content/10900000/000735169.xlsx
2021-02-10,11325.0,1232.0,https://www.mhlw.go.jp/content/10900000/000738342.xlsx
2021-02-17,9575.0,1020.0,https://www.mhlw.go.jp/content/10900000/000749641.xlsx
2021-02-24,8032.0,820.0,https://www.mhlw.go.jp/content/10900000/000749622.xlsx
2021-03-03,6683.0,739.0,https://www.mhlw.go.jp/content/10900000/000749619.xlsx
2021-03-10,5947.0,659.0,https://www.mhlw.go.jp/content/10900000/000753067.xlsx
2021-03-17,5895.0,609.0,https://www.mhlw.go.jp/content/10900000/000756221.xlsx
2021-03-24,6275.0,630.0,https://www.mhlw.go.jp/content/10900000/000760411.xlsx
2021-03-31,7263.0,732.0,https://www.mhlw.go.jp/content/10900000/000767733.xlsx
2021-04-07,8602.0,843.0,https://www.mhlw.go.jp/content/10900000/000767730.xlsx
2021-04-14,9423.0,979.0,https://www.mhlw.go.jp/content/10900000/000770254.xlsx
2021-04-21,11279.0,1230.0,https://www.mhlw.go.jp/content/10900000/000772807.xlsx
2021-04-28,13089.0,1328.0,https://www.mhlw.go.jp/content/10900000/000775968.xlsx
2021-05-05,14927.0,1549.0,https://www.mhlw.go.jp/content/10900000/000776985.xlsx
2021-05-12,16620.0,1807.0,https://www.mhlw.go.jp/content/10900000/000779837.xlsx
2021-05-19,17372.0,1821.0,https://www.mhlw.go.jp/content/10900000/000783157.xlsx
2021-05-26,16581.0,1843.0,https://www.mhlw.go.jp/content/10900000/000787595.xlsx
